Content,Date,Utilisateur,Tweets_Controverse
"""Je veux bien qu'on mette 450 milliards d'euros par an dans la transition écologique. Mais si c'est pour acheter des panneaux solaires chinois et perdre nos emplois, je dis non. Il faut un plan pour investir pour nos emplois. Il n'y a pas une seconde à perdre.""_x000D_
@ThierryBreton",2023-01-08,C dans l'air,731
"À ne pas financer l'éducation, les hôpitaux, les retraites et la transition écologique.",2023-04-04,Mickaël Correia,640
"Depuis 5 ans, sous l'impulsion d'@EmmanuelMacron, la France a montré qu'elle savait développer de grandes entreprises de la tech. Une nouvelle génération arrive, prête à relever le défi de la transition écologique : la France est aujourd'hui le 1er écosystème greentech en Europe.",2023-01-05,Jean-Noël Barrot,443
"Borne cherche à discréditer Courson, ""un opposant historique au mariage pour tous"". On rappelle qu'il y en a quelques uns sur les bancs du gouvernement aussi, et pas des moindres : les ministres de l'Intérieur et de la Transition écologique, Darmanin et Béchu",2023-03-20,Etienne Baldit,260
"« Bâtir notre indépendance 🇫🇷 et 🇪🇺 pour être maître de notre destin »@Elisabeth_Borne _x000D_
_x000D_
Plein emploi et égalité des chances, réindustrialisation et transition écologique, éducation et jeunesse,_x000D_
logement: nous sommes tous engagés et mobilisés!",2023-04-15,Laurence Boone,249
"Il y a quand même des génies qui viennent de dépenser 500 000 € d'un fond dédié à la transition écologique pour construire... des mouillages pour les super yachts._x000D_
Transition écologique... Super yacht._x000D_
Cherchez l'intrus.",2023-04-10,Nain Portekoi,245
"Demain c’est le commun des mortels qui sera concerné par l'interdiction des vols si possible en train en moins de 2h30, mais avec un jet privé, vous pouvez faire ce trajet tranquillement _x000D_
_x000D_
Le sujet de l’acceptation est majeur pour une transition écologique juste ! #DirectAN",2023-04-07,Julien Bayou,244
"""Il faudra entre 15 et 18 fois plus de lithium pour tenir nos objectifs de transition écologique en 2030. Mais il faudra aussi 4 fois plus de cobalt, il faudra du magnésium, du manganèse... Et il faut s'en donner le moyens.""_x000D_
@ThierryBreton, commissaire européen_x000D_
_x000D_
#cdanslair",2023-01-08,C dans l'air,240
"À Washington, réunion de travail avec @KGeorgieva, Directrice générale du FMI : crise de l’inflation, transition écologique, consolidation budgétaire, soutien aux pays en développement… Nombreux enjeux sur lesquels la France est en première ligne. @IMFNews",2023-02-28,Gabriel Attal,209
"Après 90 heures de débat et 645 amendements votés, l'Assemblée a adopté en 1ère lecture le Projet de loi Énergies renouvelables. Une grande fierté en tant que rapporteur._x000D_
_x000D_
C'est surtout une avancée majeure pour la transition écologique 🌏 et notre souveraineté énergétique 🇫🇷 !",2023-01-10,Pierre Cazeneuve,191
