Utilisateur,Hearts,Retweets,Quotes,Influence,Nature Global des Sentiments leurs Tweets,Nature
C à vous,178,517,108,803,0.4404,Tweets Très Controversés
Agnès Pannier-Runacher 🇫🇷🇪🇺,56,331,259,646,0.65964,Tweets Controversés
Fabien Bouglé,16,21,405,442,0.42115,Tweets Très Controversés
Philippe Herlin,6,18,286,310,-0.946,Tweets Dénonciateurs
Fil Rouge France,37,60,188,285,0.3612,Tweets Très Controversés
Yves Pozzo di Borgo,41,114,3,158,0.27155,Tweets Très Controversés
JULIEN PALUKU,10,67,76,153,0.5719,Tweets Controversés
François Momboisse,106,0,36,142,-0.1779,Tweets Très Controversés
Josep Borrell Fontelles,6,74,50,130,0.6908,Tweets Controversés
Pierre Beyssac 🇫🇷🇪🇺🇺🇦,115,4,7,126,0.4904,Tweets Très Controversés
Nicolas Meilhan,2,16,92,110,0.5859,Tweets Controversés
Arsène - #FJW - GIEC libre,2,11,80,93,0.33135000000000003,Tweets Très Controversés
Hadi Hassin,15,59,18,92,-0.4404,Tweets Très Controversés
Le JDD,9,40,32,81,0.4364,Tweets Très Controversés
BFMTV,6,57,9,72,0.4404,Tweets Très Controversés
marco nius,67,0,4,71,0.0516,Tweets Très Controversés
Gabriel Nadeau-Dubois,3,47,10,60,0.4939,Tweets Très Controversés
Les Jeunes avec Macron,5,24,27,56,0.4939,Tweets Très Controversés
Tristan Kamin,24,6,19,49,0.5590666666666667,Tweets Controversés
Patrice Roy,12,0,34,46,0.7035,Tweets Controversés
air plus news,8,2,36,46,0.0258,Tweets Très Controversés
Maxence Cordiez,32,0,13,45,0.35645000000000004,Tweets Très Controversés
Igor Dosgort,0,1,44,45,-0.1027,Tweets Très Controversés
Ilias Panchard,10,30,4,44,0.5423,Tweets Controversés
Sud Radio,4,34,6,44,0.4404,Tweets Très Controversés
Solange 🇫🇷🇪🇺,0,6,38,44,0.5287,Tweets Controversés
Bertaga,11,0,31,42,0.6908,Tweets Controversés
Napoléon,2,2,38,42,0.8174,Tweets Engagements Positifs
Joël Arseneau,1,9,30,40,0.45855,Tweets Très Controversés
FranceNews24,5,1,33,39,0.558,Tweets Controversés
Marianne Laigneau,4,0,31,35,0.8658,Tweets Engagements Positifs
John Nsana Kanyoni,2,10,23,35,0.4798,Tweets Très Controversés
Estaw,2,30,2,34,-0.6597,Tweets Controversés
Jean Condamine 🇫🇷 🇪🇸 🇬🇧 👍🍻🍺🤔🧐😉👌🥂🍾,0,3,30,33,0.5386500000000001,Tweets Controversés
Benoit Charette,1,18,12,31,0.7579,Tweets Engagements Positifs
Tisya Mukuna - La Kinoise,2,10,19,31,0.4404,Tweets Très Controversés
Complément d'enquête,5,13,12,30,0.6978,Tweets Controversés
RTE,4,6,20,30,0.4588,Tweets Très Controversés
Benoît Chamboncel,1,1,27,29,0.5264,Tweets Controversés
Fabio 🇨🇵,0,7,22,29,-0.16965,Tweets Très Controversés
Patrice Bacchin,1,1,27,29,0.3818,Tweets Très Controversés
Damien ERNST,1,9,19,29,0.6759666666666666,Tweets Controversés
Le Parisien,1,4,23,28,0.8658,Tweets Engagements Positifs
Thomas Cazenave,21,0,7,28,0.875,Tweets Engagements Positifs
Michel Delooz,12,0,15,27,0.4094,Tweets Très Controversés
Philippe Murer 🇫🇷,0,4,23,27,0.6968,Tweets Controversés
Christelle MORANÇAIS,0,5,22,27,0.7579,Tweets Engagements Positifs
Laurence Boone,1,4,22,27,-0.2204,Tweets Très Controversés
Habyarimana Léon,0,4,22,26,-0.8369,Tweets Dénonciateurs
RadioPirate & Co,2,9,15,26,0.5106,Tweets Controversés
