Date,Negatif,Neutre,Positif
2023-01-01,3.0,0.0,17.0
2023-01-02,1.0,0.0,19.0
2023-01-03,3.0,0.0,16.0
2023-01-04,2.0,3.0,15.0
2023-01-05,0.0,1.0,16.0
2023-01-06,7.0,0.0,13.0
2023-01-07,1.0,0.0,19.0
2023-01-08,2.0,0.0,16.0
2023-01-09,3.0,0.0,16.0
2023-01-10,1.0,0.0,19.0
2023-01-11,2.0,0.0,17.0
2023-01-12,0.0,1.0,18.0
2023-01-13,6.0,1.0,13.0
2023-01-14,3.0,2.0,14.0
2023-01-15,2.0,1.0,17.0
2023-01-16,3.0,0.0,17.0
2023-01-17,2.0,0.0,17.0
2023-01-18,3.0,1.0,15.0
2023-01-19,0.0,1.0,19.0
2023-01-20,2.0,1.0,17.0
2023-01-21,0.0,0.0,18.0
2023-01-22,0.0,0.0,17.0
2023-01-23,1.0,0.0,19.0
2023-01-24,4.0,1.0,15.0
2023-01-25,1.0,0.0,18.0
2023-01-26,3.0,0.0,17.0
2023-01-27,0.0,0.0,19.0
2023-01-28,2.0,0.0,17.0
2023-01-29,2.0,1.0,17.0
2023-01-30,4.0,0.0,16.0
2023-01-31,3.0,0.0,16.0
2023-02-01,2.0,1.0,12.0
2023-02-02,1.0,0.0,19.0
2023-02-03,0.0,0.0,20.0
2023-02-04,1.0,1.0,18.0
2023-02-05,3.0,0.0,17.0
2023-02-06,2.0,0.0,17.0
2023-02-07,3.0,0.0,17.0
2023-02-08,0.0,1.0,19.0
2023-02-09,1.0,1.0,16.0
2023-02-10,3.0,0.0,17.0
2023-02-11,2.0,0.0,18.0
2023-02-12,2.0,0.0,17.0
2023-02-13,3.0,1.0,15.0
2023-02-14,1.0,1.0,16.0
2023-02-15,1.0,0.0,17.0
2023-02-16,3.0,0.0,16.0
2023-02-17,2.0,0.0,18.0
2023-02-18,1.0,1.0,17.0
2023-02-19,3.0,0.0,17.0
2023-02-20,2.0,0.0,17.0
2023-02-21,1.0,0.0,18.0
2023-02-22,1.0,0.0,18.0
2023-02-23,1.0,0.0,18.0
2023-02-24,3.0,0.0,16.0
2023-02-25,2.0,2.0,16.0
2023-02-26,1.0,1.0,13.0
2023-02-27,1.0,0.0,17.0
2023-02-28,5.0,0.0,11.0
2023-03-01,2.0,0.0,17.0
2023-03-02,0.0,0.0,19.0
2023-03-03,1.0,0.0,19.0
2023-03-04,2.0,0.0,16.0
2023-03-05,3.0,0.0,17.0
2023-03-06,0.0,0.0,20.0
2023-03-07,0.0,1.0,19.0
2023-03-08,0.0,0.0,19.0
2023-03-09,0.0,0.0,20.0
2023-03-10,2.0,0.0,17.0
2023-03-11,2.0,0.0,18.0
2023-03-12,5.0,0.0,12.0
2023-03-13,5.0,0.0,14.0
2023-03-14,0.0,1.0,19.0
2023-03-15,2.0,0.0,17.0
2023-03-16,0.0,1.0,19.0
2023-03-17,0.0,0.0,20.0
2023-03-18,3.0,0.0,16.0
2023-03-19,2.0,0.0,18.0
2023-03-20,1.0,0.0,19.0
2023-03-21,2.0,0.0,18.0
2023-03-22,1.0,1.0,17.0
2023-03-23,3.0,0.0,16.0
2023-03-24,1.0,4.0,15.0
2023-03-25,1.0,0.0,18.0
2023-03-26,1.0,0.0,18.0
2023-03-27,5.0,0.0,15.0
2023-03-28,2.0,0.0,17.0
2023-03-29,2.0,1.0,16.0
2023-03-30,3.0,0.0,17.0
2023-03-31,2.0,0.0,17.0
2023-04-01,2.0,0.0,16.0
2023-04-02,2.0,0.0,17.0
2023-04-03,2.0,0.0,17.0
2023-04-04,1.0,2.0,16.0
2023-04-05,3.0,0.0,15.0
2023-04-06,1.0,0.0,17.0
2023-04-07,2.0,0.0,17.0
2023-04-08,0.0,0.0,20.0
2023-04-09,2.0,0.0,17.0
2023-04-10,2.0,0.0,18.0
2023-04-11,1.0,0.0,18.0
2023-04-12,3.0,0.0,17.0
2023-04-13,4.0,0.0,16.0
2023-04-14,4.0,3.0,13.0
2023-04-15,3.0,1.0,15.0
2023-04-16,2.0,0.0,18.0
2023-04-17,4.0,0.0,16.0
2023-04-18,3.0,0.0,15.0
2023-04-19,2.0,2.0,16.0
2023-04-20,3.0,1.0,15.0
2023-04-21,2.0,1.0,14.0
2023-04-22,2.0,1.0,17.0
