Date;Positif;Negatif;Neutre
01/01/2023;20;3;0
02/01/2023;20;1;0
03/01/2023;19;3;0
04/01/2023;20;2;3
05/01/2023;17;0;1
06/01/2023;20;7;0
07/01/2023;20;1;0
08/01/2023;18;2;0
09/01/2023;19;3;0
10/01/2023;20;1;0
11/01/2023;19;2;0
12/01/2023;19;0;1
13/01/2023;20;6;1
14/01/2023;19;3;2
15/01/2023;20;2;1
16/01/2023;20;3;0
17/01/2023;19;2;0
18/01/2023;19;3;1
19/01/2023;20;0;1
20/01/2023;20;2;1
21/01/2023;18;0;0
22/01/2023;17;0;0
23/01/2023;20;1;0
24/01/2023;20;4;1
25/01/2023;19;1;0
26/01/2023;20;3;0
27/01/2023;19;0;0
28/01/2023;19;2;0
29/01/2023;20;2;1
30/01/2023;20;4;0
31/01/2023;19;3;0
01/02/2023;15;2;1
02/02/2023;20;1;0
03/02/2023;20;0;0
04/02/2023;20;1;1
05/02/2023;20;3;0
06/02/2023;19;2;0
07/02/2023;20;3;0
08/02/2023;20;0;1
09/02/2023;18;1;1
10/02/2023;20;3;0
11/02/2023;20;2;0
12/02/2023;19;2;0
13/02/2023;19;3;1
14/02/2023;18;1;1
15/02/2023;18;1;0
16/02/2023;19;3;0
17/02/2023;20;2;0
18/02/2023;19;1;1
19/02/2023;20;3;0
20/02/2023;19;2;0
21/02/2023;19;1;0
22/02/2023;19;1;0
23/02/2023;19;1;0
24/02/2023;19;3;0
25/02/2023;20;2;2
26/02/2023;15;1;1
27/02/2023;18;1;0
28/02/2023;16;5;0
01/03/2023;19;2;0
02/03/2023;19;0;0
03/03/2023;20;1;0
04/03/2023;18;2;0
05/03/2023;20;3;0
06/03/2023;20;0;0
07/03/2023;20;0;1
08/03/2023;19;0;0
09/03/2023;20;0;0
10/03/2023;19;2;0
11/03/2023;20;2;0
12/03/2023;17;5;0
13/03/2023;19;5;0
14/03/2023;20;0;1
15/03/2023;19;2;0
16/03/2023;20;0;1
17/03/2023;20;0;0
18/03/2023;19;3;0
19/03/2023;20;2;0
20/03/2023;20;1;0
21/03/2023;20;2;0
22/03/2023;19;1;1
23/03/2023;19;3;0
24/03/2023;20;1;4
25/03/2023;19;1;0
26/03/2023;19;1;0
27/03/2023;20;5;0
28/03/2023;19;2;0
29/03/2023;19;2;1
30/03/2023;20;3;0
31/03/2023;19;2;0
01/04/2023;18;2;0
02/04/2023;19;2;0
03/04/2023;19;2;0
04/04/2023;19;1;2
05/04/2023;18;3;0
06/04/2023;18;1;0
07/04/2023;19;2;0
08/04/2023;20;0;0
09/04/2023;19;2;0
10/04/2023;20;2;0
11/04/2023;19;1;0
12/04/2023;20;3;0
13/04/2023;20;4;0
14/04/2023;20;4;3
15/04/2023;19;3;1
16/04/2023;20;2;0
17/04/2023;20;4;0
18/04/2023;18;3;0
19/04/2023;20;2;2
20/04/2023;19;3;1
21/04/2023;17;2;1
22/04/2023;20;2;1
